Recognised Vehicle Name,Brand,Model,Year,Category,Engine,Transmission,Mileage km per full tank,Hybrid,Fuel Type,Oil Consumption Km per L,Boot Space L,Airbags,Seating Capacity,Fuel Tank Capacity L,Common Errors,Similar Vehicles,Market Price LKR
Nissan Leaf 2023,Nissan,Leaf,2023,Pickup,2.4L I4,Automatic,471,No,Petrol,16.9,289,10,6,40,AC compressor failure; Turbocharger lag; Brake pad wear prematurely; Timing chain stretch; Airbag sensor warning,BMW X3; Land Rover Range Rover Sport; Audi A6,7437240.00
Kia Sportage 2014,Kia,Sportage,2014,Coupe,3.0L V6,8-Speed Automatic,746,No,Petrol,14.4,470,10,6,55,Timing chain stretch; Fuel injector clogging; Coolant leak; Transmission jerking; Airbag sensor warning,Hyundai Santa Fe; BMW X7; Porsche 911,1663560.00
Mitsubishi Pajero 2017,Mitsubishi,Pajero,2017,Hatchback,2.4L I4,Automatic,715,No,Petrol,8.5,743,4,8,55,Oil leak from valve cover; Alternator failure; DPF clogging (diesel); Infotainment touchscreen lag; Power steering leak,Chevrolet Malibu; Toyota Camry; Mercedes-Benz C-Class,2028600.00
Mazda CX-5 2015,Mazda,CX-5,2015,Pickup,Electric Dual Motor,6-Speed Automatic,447,No,Diesel,,260,2,8,,Exhaust manifold crack; Timing chain stretch; Coolant leak; Oil leak from valve cover; Suspension noise,Mercedes-Benz G-Class; Ford F-150; Jeep Wrangler,2283840.00
Suzuki Alto 2023,Suzuki,Alto,2023,MPV,0.8L I3,5-Speed Manual,745,No,Petrol,16.6,275,4,4,40,Suspension noise; AC not cooling properly; Battery draining fast; Electrical wiring fault; Steering vibration,Hyundai Eon; Kia Picanto; Datsun Redi-Go,2362560
Suzuki Wagon R 2018,Suzuki,Wagon R,2018,Crossover,1.2L I4,CVT,645,No,Petrol,20.3,367,4,5,30,Infotainment lag; Engine overheating; Steering vibration; Suspension noise; Electrical wiring fault,Hyundai Santro; Tata Tiago; Maruti Celerio,2910792
Suzuki Swift 2017,Suzuki,Swift,2017,Crossover,0.8L I3,Manual,570,Yes,Patrol,15,243,2,5,35,Infotainment lag; Battery draining fast; Electrical wiring fault; Fuel pump issue; Gearbox jerks,Hyundai i20; Honda Jazz; Toyota Yaris,2536324
Suzuki Celerio 2021,Suzuki,Celerio,2021,Sedan,1.2L I4,5-Speed Manual,572,No,Petrol,17,168,6,5,30,Suspension noise; Fuel pump issue; Gearbox jerks; Steering vibration; Power window failure,Tata Tiago; Hyundai i10; Datsun Go,2036400
Suzuki Baleno 2011,Suzuki,Baleno,2011,MPV,1.5L I4,5-Speed Manual,678,Yes,Petrol,18.2,345,2,5,35,Electrical wiring fault; Engine overheating; Suspension noise; Gearbox jerks; Battery draining fast,Toyota Glanza; Hyundai i20; Honda City,1895069
Suzuki Ignis 2020,Suzuki,Ignis,2020,Crossover,0.8L I3,Manual,619,No,Diesel,14.4,217,4,5,35,Gearbox jerks; Suspension noise; Fuel pump issue; Electrical wiring fault; Brake pad wear,Renault Kwid; Mahindra KUV100; Hyundai Venue,1763952
Suzuki Dzire 2020,Suzuki,Dzire,2020,Hatchback,1.2L Hybrid,Automatic,700,Yes,Petrol,21,334,4,5,40,Gearbox jerks; Steering vibration; Battery draining fast; Fuel pump issue; Electrical wiring fault,Honda Amaze; Hyundai Aura; Toyota Etios,3326799
Suzuki XL7 2019,Suzuki,XL7,2019,SUV,1.6L I4,4-Speed Automatic,717,No,Petrol,14.4,608,2,7,55,Brake pad wear; Infotainment lag; Gearbox jerks; Electrical wiring fault; AC not cooling properly,Toyota Rush; Mitsubishi Xpander; Honda Mobilio,4879092
Suzuki Vitara 2012,Suzuki,Vitara,2012,Hatchback,1.4L I4,Manual,755,No,Diesel,19.7,327,4,5,40,Infotainment lag; Electrical wiring fault; Suspension noise; Steering vibration; Fuel pump issue,Hyundai Creta; Kia Seltos; Honda HR-V,2601729
Suzuki Jimny 2007,Suzuki,Jimny,2007,MPV,1.3L I4,Automatic,499,No,Petrol,15.1,418,6,5,50,Battery draining fast; Fuel pump issue; Electrical wiring fault; Power window failure; Brake pad wear,Mahindra Thar; Ford Bronco Sport; Jeep Wrangler,1867206
Suzuki S-Cross 2025,Suzuki,S-Cross,2025,Sedan,0.8L I3,5-Speed Manual,762,No,Petrol,15.8,466,2,5,40,Fuel pump issue; Clutch wear; AC not cooling properly; Steering vibration; Engine overheating,Hyundai Creta; Nissan Kicks; Renault Duster,6198144
Suzuki Ciaz 2011,Suzuki,Ciaz,2011,MPV,1.4L I4,CVT,709,No,Petrol,21.1,403,4,5,40,Steering vibration; Power window failure; Engine overheating; Electrical wiring fault; Battery draining fast,Honda City; Hyundai Verna; Toyota Yaris,1711169
Hyundai Ioniq 2022,Hyundai,Ioniq,2022,Sedan,1.6L I4,Dual-Clutch (DCT),687,No,Petrol,13.3,597,4,5,55,Infotainment touchscreen lag; Turbocharger lag; Window regulator failure; Battery degradation; Exhaust manifold crack,BMW 5 Series; Ford Ranger; Volkswagen Arteon,6386400.00
